building_name,device_id,community,device_no,model,serial,routeros_version,management_ip,management_port,management_url,circuit_no,bandwidth,uptime,checked_at,class_name,form_id
至真生活家,319,至真生活家,shinnan-142,RB450Gx4,HD5080B0CVD,6.49.18,122.117.199.170,9000,http://122.117.199.170:9000/,6Y053190,500M/500M,324天 22:40:20,115/05/17 19:04:01,SF_1,319
清境豪景,307,清境豪景,shinnan-035,RB750Gr3,D5030E5E08B5,6.49.10,114.35.230.94,9000,http://114.35.230.94:9000/,6Y109631,300M/300M,328天 05:02:27,115/05/17 19:04:01,SF_1,307
棋琴20重奏_2,96,棋琴20重奏,shinnan-606_2,RB750Gr3,D5030E1DB03C,6.49.10,114.35.201.236,9000,http://114.35.201.236:9000/,7611Y012895,300M/300M,339天 09:04:10,115/05/17 19:04:01,SF_1,96
國泰名人,6,國泰名人,shinnan-099,RB450Gx4,HCW080T02K2,6.49.10,125.229.205.65,9000,http://125.229.205.65:9000/,6Y132458,300M/300M,341天 22:13:56,115/05/17 19:04:01,SF_1,6
博悅,68,博悅,shinnan-263,RB750Gr3,C55D0B7F8FFF,6.49.13,220.134.144.144,9000,http://220.134.144.144:9000/,6Y242331,300M/300M,342天 04:42:38,115/05/17 19:04:01,SF_1,68
世界真美麗,402,世界真美麗,shinnan-229,RB450Gx4,B8D00A3926A5,6.49.17,218.161.22.120,9000,http://218.161.22.120:9000/,6Y345240,300M/300M,342天 09:04:11,115/05/17 19:04:01,SF_1,402
享家,130,享家,shinnan-259,RB750Gr3,D5030F6A0153,6.49.13,59.127.246.63,9000,http://59.127.246.63:9000/,6Y402927,100M/40M,344天 07:13:37,115/05/17 19:04:01,SF_1,130
水工坊,343,水工坊,shinnan-107,RB450Gx4,HFA098G4GN4,6.49.18,220.133.29.235,9000,http://220.133.29.235:9000/,6Y240172,500M/500M,345天 08:27:49,115/05/17 19:04:01,SF_1,343
長榮新秀,329,長榮新秀,shinnan-189,RB450Gx4,HD508AD2ZSJ,6.49.13,59.127.246.23,9000,http://59.127.246.23:9000/,6Y457020,500M/500M,347天 04:45:54,115/05/17 19:04:01,SF_1,329
城中星,394,城中星,shinnan-754,RB450Gx4,HG809X1770W,6.49.18,122.117.230.146,9000,http://122.117.230.146:9000/,72Y337037,500M/500M,356天 03:28:12,115/05/17 19:04:01,SF_1,394
合群孝區,271,合群孝區,shinnan-728,RB450Gx4,E1D80F651B65,6.49.13,59.127.193.48,9000,http://59.127.193.48:9000/,72Y523487,500M/500M,356天 07:26:13,115/05/17 19:04:01,SF_1,271
築夢世紀,151,築夢世紀,shinnan-604,RB750Gr3,6F3808BB898D,6.47.10,122.117.49.169,9000,http://122.117.49.169:9000/,72Y408811,300M/300M,360天 08:31:12,115/05/17 19:04:01,SF_1,151
文府硯,324,文府硯,shinnan-268,RB450Gx4,HD5082DSZV3,6.49.18,220.134.144.172,9000,http://220.134.144.172:9000/,6Y002536,300M/300M,367天 03:41:07,115/05/17 19:04:01,SF_1,324
捷仕堡,45,捷仕堡,shinnan-610,RB450Gx4,E1D80F303EEF,7.11.2,220.134.242.140,9000,http://220.134.242.140:9000/,77Y181836,500M/500M,373天 06:28:16,115/05/17 19:04:01,SF_1,45
荷蘭首府,23,荷蘭首府,shinnan-023,RB750Gr3,D5030EAEE2AE,6.49.10,220.134.144.192,9000,http://220.134.144.192:9000/,6Y144240,300M/300M,373天 07:20:35,115/05/17 19:04:01,SF_1,23
香榭大道,277,香榭大道,shinnan-008,RB750Gr3,D5030EDCB630,6.49.10,220.134.145.196,9000,http://220.134.145.196:9000/,6Y174476,300M/300M,375天 00:18:18,115/05/17 19:04:01,SF_1,277
皆大歡喜,360,皆大歡喜,shinnan-121,RB450Gx4,HG809KHPFZ4,6.49.18,122.117.199.70,9000,http://122.117.199.70:9000/,6Y114949,300M/300M,375天 12:38:33,115/05/17 19:04:01,SF_1,360
真愛2,201,真愛2,shinnan-267,RB450Gx4,E1D80D08133B,6.49.18,220.134.144.171,9000,http://220.134.144.171:9000/,6Y262731,500M/500M,376天 05:36:01,115/05/17 19:04:01,SF_1,201
興連城PRO+,276,興連城PRO+,shinnan-x36,RB450Gx4,E1D80FCDABC8,6.49.13,220.133.21.209,9000,http://220.133.21.209:9000/,72Y688731,500M/500M,378天 19:22:08,115/05/17 19:04:01,SF_1,276
皇龍天品,116,皇龍天品,shinnan-x02,RB750Gr3,6F3906AD3250,6.49.13,220.133.11.134,9000,http://220.133.11.134:9000/,6Y469312,500M/500M,379天 09:02:37,115/05/17 19:04:01,SF_1,116
湯山東興_2,38,湯山東興,shinnan-196_2,RB750Gr3,D5030E52BF9E,6.49.10,125.229.205.95,9000,http://125.229.205.95:9000/,6Y355790,300M/300M,387天 00:56:25,115/05/17 19:04:01,SF_1,38
和歌山,314,和歌山,shinnan-338,RB450Gx4,HD5088VTP0E,6.49.13,220.132.232.221,9000,http://220.132.232.221:9000/,6Y465275,500M/500M,388天 04:45:32,115/05/17 19:04:01,SF_1,314
五妃名人,370,五妃名人,shinnan-061,RB450Gx4,A51809B96997,6.49.18,220.134.144.204,9000,http://220.134.144.204:9000/,6Y140576,300M/300M,391天 05:24:41,115/05/17 19:04:01,SF_1,370
遠雄明日讚,388,遠雄明日讚,shinnan-x21,RB450Gx4,HF209CGX6RA,6.49.13,220.132.97.241,9000,http://220.132.97.241:9000/,6Y477958,500M/500M,395天 11:16:46,115/05/17 19:04:01,SF_1,388
大亞洲,172,大亞洲,shinnan-048,RB450Gx4,HCW081PQ6YH,6.49.18,59.127.106.52,9000,http://59.127.106.52:9000/,6Y125007,300M/300M,398天 01:28:58,115/05/17 19:04:01,SF_1,172
流行城市,44,流行城市,shinnan-721,RB750Gr3,CC220F8587A9,6.49.10,59.127.190.217,9000,http://59.127.190.217:9000/,72Y293888,300M/300M,405天 04:37:57,115/05/17 19:04:01,SF_1,44
鳳凰時代,83,鳳凰時代,shinnan-767,RB450Gx4,E1D80F6AB651,6.49.13,122.117.49.250,9000,http://122.117.49.250:9000/,7611Y008762,500M/500M,405天 06:06:27,115/05/17 19:04:01,SF_1,83
Hi 協勝發,187,Hi 協勝發,shinnan-797,RB450Gx4,E1D80F90DA9C,6.49.13,220.132.27.42,9000,http://220.132.27.42:9000/,72Y590494,500M/500M,412天 08:00:50,115/05/17 19:04:01,SF_1,187
陽光樹,334,陽光樹,shinnan-339,RB450Gx4,HD5086ZPBP3,6.49.13,114.33.239.166,9000,http://114.33.239.166:9000/,6583Y034330,500M/500M,417天 08:21:18,115/05/17 19:04:01,SF_1,334
HAPPY悅讀,180,HAPPY悅讀,shinnan-726,RB750Gr3,CC220F9D73A5,6.49.13,122.117.49.23,9000,http://122.117.49.23:9000/,72Y411315,300M/300M,418天 03:46:43,115/05/17 19:04:01,SF_1,180
河歌山,32,河歌山,shinnan-758,RB750Gr3,D5030D216154,6.49.13,122.117.49.24,9000,http://122.117.49.24:9000/,72Y387999,300M/300M,419天 04:54:38,115/05/17 19:04:01,SF_1,32
謙邑,266,謙邑,shinnan-278,RB750Gr3,D5030DAC2D9C,6.49.8,220.134.144.140,9000,http://220.134.144.140:9000/,6Y426651,300M/300M,422天 06:48:56,115/05/17 19:04:01,SF_1,266
湖美千利修,63,湖美千利修,shinnan-193,RB750Gr3,CC220E43CCFF,6.49.13,220.134.145.191,9000,http://220.134.145.191:9000/,6Y077496,300M/300M,423天 09:59:39,115/05/17 19:04:01,SF_1,63
伯納伯森,165,伯納伯森,shinnan-x27,RB750Gr3,D5030E77CBE3,6.49.18,114.33.181.197,9000,http://114.33.181.197:9000/,6Y479665,300M/300M,425天 03:59:46,115/05/17 19:04:01,SF_1,165
文化名園,327,文化名園,shinnan-068,RB450Gx4,HD508FM4VK6,6.49.13,125.228.225.79,9000,http://125.228.225.79:9000/,6Y008480,500M/500M,425天 04:54:36,115/05/17 19:04:01,SF_1,327
台南第一樓,318,台南第一樓,shinnan-066,RB450Gx4,HD508E7444W,6.49.8,59.127.72.58,9000,http://59.127.72.58:9000/,6Y112053,300M/300M,426天 08:06:42,115/05/17 19:04:01,SF_1,318
